comments_count,attitudes_count,reposts_count,region_name,screen_name,topic_struct,text_raw
0,0,0,黔东南苗族侗族自治州,仙儿back,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%92%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#哪吒#</span></a> 守了好几天，终于让我抢到了几张imaxGT好点的位置<span class=""url-icon""><img alt=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒# 守了好几天，终于让我抢到了几张imaxGT好点的位置 
0,0,0,茂名,雾岛冰猫_,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>冲前五！！ ",#哪吒2全球影史票房第10#冲前五！！ 
0,0,0,上饶,菜单的多样化,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>本来我还想二刷个IMIX版的，回看一下票根，我看的已经是最高配的了<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#本来我还想二刷个IMIX版的，回看一下票根，我看的已经是最高配的了 
0,0,0,未知,听眠织颖忆,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>哇塞，太有实力了<span class=""url-icon""><img alt=[羞嗒嗒] src=""https://h5.sinaimg.cn/m/emoticon/icon/lxh/lxh_xiudada-e99552ddb3.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#哇塞，太有实力了 
0,0,0,石家庄,白音温都,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a> 恭喜哪吒票房大卖！！！ ",#哪吒2全球影史票房第10# 恭喜哪吒票房大卖！！！ 
0,0,0,未知,别捏我脸了·,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>好耶好耶恭喜吒儿<span class=""url-icon""><img alt=""[爱慕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/18/2023_adore_org.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#好耶好耶恭喜吒儿 
0,0,0,上海,千迹星,"终于把新简历改完了[好运连连]我咋个能这么墨迹<span class=""url-icon""><img alt=[黑线] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png"" style=""width:1em; height:1em;"" /></span>日月光这么大个商圈居然没有电影院<span class=""url-icon""><img alt=[哆啦A梦害怕] src=""https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_03haipa-32e9b53caf.png"" style=""width:1em; height:1em;"" /></span>太阻碍我为哪吒全球登顶事业添砖加瓦了，当然，还有🦅 ",终于把新简历改完了[好运连连]我咋个能这么墨迹日月光这么大个商圈居然没有电影院太阻碍我为哪吒全球登顶事业添砖加瓦了，当然，还有🦅 
0,0,0,汕尾,kt_电池小露猫,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>爆！！ ",#哪吒2全球影史票房第10#爆！！ 
0,0,0,安阳,来一小把香菜,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>我想再去看一遍 ",#哪吒2全球影史票房第10#我想再去看一遍 
0,0,0,上海,世界覆灭后,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23&extparam=%23%E5%93%AA%E5%90%922%E5%85%A8%E7%90%83%E5%BD%B1%E5%8F%B2%E7%A5%A8%E6%88%BF%E7%AC%AC10%23"" data-hide=""""><span class=""surl-text"">#哪吒2全球影史票房第10#</span></a>恭喜恭喜一定要在饺子的藏理上播出呀<span class=""url-icon""><img alt=[good] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[good] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png"" style=""width:1em; height:1em;"" /></span> ",#哪吒2全球影史票房第10#恭喜恭喜一定要在饺子的藏理上播出呀 
